City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bambous Virieux,40,MU,2018-10-11,60,-20.34,57.76,73.4,18.34
Anta,75,PE,2018-10-11,37,-13.47,-72.15,66.2,6.93
Rocha,92,UY,2018-10-11,61,-34.48,-54.34,56.82,7.52
Kyabe,0,TD,2018-10-11,53,9.45,18.94,82.92,4.05
Vestmannaeyjar,90,IS,2018-10-11,100,63.44,-20.27,48.2,40.26
Puteyets,36,RU,2018-10-11,74,65.17,57.09,32.79,12.21
Bathsheba,40,BB,2018-10-11,74,13.22,-59.52,84.2,10.29
Vilani,0,LV,2018-10-11,81,56.55,26.92,46.29,6.06
Greece,75,US,2018-10-11,65,43.21,-77.69,69.08,21.92
Kloulklubed,40,PW,2018-10-11,88,7.04,134.26,78.8,3.36
Iqaluit,75,CA,2018-10-11,73,63.75,-68.52,26.6,14.99
Phonhong,68,LA,2018-10-11,100,18.5,102.42,71.94,3.94
Pskov,0,RU,2018-10-11,93,57.82,28.33,44.6,4.38
Afumati,0,RO,2018-10-11,58,44.52,26.27,59.0,5.82
Acapulco,20,MX,2018-10-11,74,16.86,-99.88,86.0,5.82
Camacha,20,PT,2018-10-11,83,33.08,-16.33,75.2,10.29
Calabozo,48,VE,2018-10-11,51,8.92,-67.43,93.81,6.06
La Rioja,92,AR,2018-10-11,59,-29.41,-66.86,64.11,4.72
Dakar,0,SN,2018-10-11,90,14.69,-17.45,85.71,17.58
Skaelskor,0,DK,2018-10-11,87,55.25,11.29,55.4,14.99
Susanville,1,US,2018-10-11,41,40.42,-120.65,53.6,3.36
Quartucciu,20,IT,2018-10-11,88,39.25,9.18,71.6,5.82
Shamary,88,RU,2018-10-11,82,57.34,58.22,37.11,17.25
Biswan,0,IN,2018-10-11,83,27.49,81.0,73.02,2.71
Tessalit,0,ML,2018-10-11,18,20.2,1.01,86.16,6.4
Ulaangom,8,MN,2018-10-11,77,49.98,92.07,22.53,1.59
Srednekolymsk,88,RU,2018-10-11,95,67.46,153.71,25.23,2.59
Havre,90,US,2018-10-11,15,48.55,-109.68,35.96,4.16
Buin,40,CL,2018-10-11,30,-33.73,-70.74,68.0,9.17
Kaoma,0,ZM,2018-10-11,25,-14.8,24.8,73.29,6.96
Vila Velha,0,BR,2018-10-11,55,-3.71,-38.6,86.0,17.22
Sao Jose da Coroa Grande,12,BR,2018-10-11,73,-8.9,-35.15,80.94,12.44
Zahir Pir,0,PK,2018-10-11,50,28.81,70.52,70.59,3.38
Cap Malheureux,40,MU,2018-10-11,60,-19.98,57.61,73.4,18.34
Yanam,24,IN,2018-10-11,70,16.73,82.22,82.74,9.75
Vukovar,0,HR,2018-10-11,67,45.34,19.0,57.2,9.17
Bayan,0,MN,2018-10-11,63,47.25,107.54,20.01,2.71
Albury,0,AU,2018-10-11,87,-36.08,146.92,44.6,5.61
Stepnyak,68,KZ,2018-10-11,41,52.83,70.79,52.23,20.49
Springfield,1,US,2018-10-11,52,37.22,-93.29,55.94,8.05
Salalah,0,OM,2018-10-11,49,17.01,54.1,89.6,10.29
Krasyliv,0,UA,2018-10-11,82,49.66,26.97,49.62,6.4
Qostanay,0,KZ,2018-10-11,86,53.17,63.58,37.4,8.95
Carson City,90,US,2018-10-11,37,39.16,-119.77,55.94,9.17
Devarkonda,88,IN,2018-10-11,51,16.69,78.91,80.94,6.17
Belaya Gora,68,RU,2018-10-11,91,68.54,146.19,9.39,2.71
Ambon,0,FR,2018-10-11,93,47.55,-2.56,59.0,10.29
Deputatskiy,36,RU,2018-10-11,67,69.3,139.9,1.38,2.59
Marsh Harbour,44,BS,2018-10-11,100,26.54,-77.06,81.12,10.76
Ochamchira,0,GE,2018-10-11,100,42.71,41.47,65.46,2.15
Baoning,64,CN,2018-10-11,93,25.34,110.03,59.0,4.47
Lazurne,0,UA,2018-10-11,41,46.77,34.99,60.51,11.43
Juba,0,EE,2018-10-11,100,57.82,26.93,42.8,6.51
Catuday,0,PH,2018-10-11,100,16.29,119.81,78.69,5.5
Abu Zabad,32,SD,2018-10-11,81,12.35,29.25,75.81,4.5
Rayadrug,36,IN,2018-10-11,56,14.7,76.87,71.58,2.15
Grindavik,90,IS,2018-10-11,87,63.84,-22.43,55.4,36.91
Ouahigouya,0,BF,2018-10-11,48,13.58,-2.42,88.86,3.15
Perth,40,GB,2018-10-11,87,56.4,-3.43,57.2,10.29
Dubovka,0,RU,2018-10-11,71,49.06,44.83,50.0,8.95
Massakory,0,TD,2018-10-11,56,13.0,15.73,79.32,4.5
Emerald,80,AU,2018-10-11,84,-23.53,148.16,67.62,8.19
Ponorogo,12,ID,2018-10-11,97,-7.87,111.46,67.62,2.93
Orodara,20,BF,2018-10-11,69,10.98,-4.92,82.4,3.36
Gold Coast,90,AU,2018-10-11,87,-28.0,153.41,60.8,8.05
San Jose,76,PH,2018-10-11,95,15.79,120.99,72.57,1.92
Sitka,32,US,2018-10-11,100,37.17,-99.65,46.56,4.61
Kiama,0,AU,2018-10-11,76,-34.67,150.86,53.6,8.05
Camargo,0,MX,2018-10-11,31,27.69,-105.17,80.49,6.06
Ganzhou,68,CN,2018-10-11,70,25.86,114.93,56.01,2.93
Turukhansk,92,RU,2018-10-11,88,65.8,87.96,32.52,17.25
Reus,20,ES,2018-10-11,88,41.16,1.11,69.8,1.12
Waldkirch,32,DE,2018-10-11,93,48.09,7.96,57.2,4.7
Zhaodong,0,CN,2018-10-11,80,46.07,125.99,35.6,4.47
Manuk Mangkaw,64,PH,2018-10-11,94,4.8,119.85,86.34,7.4
Mbini,40,GQ,2018-10-11,88,1.58,9.62,80.6,6.93
Pareora,92,NZ,2018-10-11,100,-44.49,171.21,40.08,12.77
Tortoli,20,IT,2018-10-11,82,39.93,9.66,68.0,3.49
Pathein,12,MM,2018-10-11,96,16.78,94.73,75.36,3.49
Neiafu,40,TO,2018-10-11,94,-18.65,-173.98,77.0,8.05
Porto Novo,75,BR,2018-10-11,73,-23.68,-45.44,73.4,10.29
Manaia,92,NZ,2018-10-11,100,-39.55,174.12,53.4,23.73
Matagami,24,NG,2018-10-11,87,9.67,8.4,71.58,3.15
Praya,40,ID,2018-10-11,88,-8.71,116.27,77.0,2.24
Margate,75,AU,2018-10-11,87,-43.03,147.26,48.2,5.82
Kostomuksha,8,RU,2018-10-11,99,64.59,30.6,39.81,5.73
Aksu,0,KZ,2018-10-11,81,52.04,76.93,42.8,8.95
Shache,0,CN,2018-10-11,59,38.42,77.24,43.86,5.17
Stawell,0,AU,2018-10-11,89,-37.06,142.77,41.07,2.71
Wewak,8,PG,2018-10-11,97,-3.55,143.63,76.17,3.38
Bandarbeyla,8,SO,2018-10-11,89,9.49,50.81,76.8,8.41
Karasburg,0,NA,2018-10-11,26,-28.01,18.75,72.66,12.44
Bereda,20,ES,2018-10-11,67,43.27,-7.54,62.6,12.75
Hadejia,68,NG,2018-10-11,27,12.45,10.04,88.14,6.4
Gushikawa,75,JP,2018-10-11,87,26.35,127.87,69.8,9.17
Nizhniy Tsasuchey,0,RU,2018-10-11,70,50.52,115.13,30.9,3.15
Kidal,0,ML,2018-10-11,16,18.44,1.41,87.78,6.62
Solnechnyy,0,RU,2018-10-11,74,50.72,136.64,25.14,3.49
Umm Lajj,0,SA,2018-10-11,98,25.02,37.27,78.69,8.63
Joshimath,0,IN,2018-10-11,90,30.57,79.57,14.25,0.47
Beringovskiy,92,RU,2018-10-11,100,63.05,179.32,41.16,22.17
Gladstone,92,AU,2018-10-11,100,-23.84,151.26,66.54,10.54
Obera,88,AR,2018-10-11,75,-27.49,-55.12,78.96,3.49
Cabedelo,40,BR,2018-10-11,58,-6.97,-34.84,84.2,14.99
Mount Isa,0,AU,2018-10-11,32,-20.73,139.49,68.0,5.82
Zhigansk,88,RU,2018-10-11,92,66.77,123.37,30.0,5.39
Bugyi,0,HU,2018-10-11,82,47.22,19.15,57.2,3.36
Nandikotkur,12,IN,2018-10-11,44,15.86,78.27,76.62,7.4
Bafia,68,CM,2018-10-11,72,4.74,11.22,76.89,5.39
Puerto Narino,90,CO,2018-10-11,74,-3.77,-70.38,86.0,3.6
Mabaruma,12,GY,2018-10-11,60,8.2,-59.78,91.56,8.63
Dubai,0,AE,2018-10-11,11,25.27,55.3,91.4,6.93
Neuwied,0,DE,2018-10-11,82,50.43,7.47,66.2,9.17
Imbituba,75,BR,2018-10-11,64,-28.24,-48.67,69.8,12.75
Vostok,92,RU,2018-10-11,99,46.45,135.83,38.46,2.37
Zacualpan,5,MX,2018-10-11,54,21.25,-105.17,86.0,2.71
Satana,8,IN,2018-10-11,65,20.6,74.2,72.39,3.38
Lufkin,1,US,2018-10-11,53,31.34,-94.73,73.4,4.7
Kalmar,8,SE,2018-10-11,93,56.66,16.36,51.8,6.93
Minna,48,NG,2018-10-11,86,9.62,6.55,77.97,4.16
Lethem,0,GY,2018-10-11,34,3.38,-59.8,99.48,11.1
Vilyuysk,92,RU,2018-10-11,99,63.75,121.63,33.42,2.37
Vrangel,12,RU,2018-10-11,100,42.73,133.08,49.62,20.04
Zhanjiang,24,CN,2018-10-11,93,21.2,110.4,75.9,14.79
Padang,92,ID,2018-10-11,100,-0.92,100.36,78.06,10.65
Anito,64,PH,2018-10-11,100,12.45,125.29,81.21,10.2
Scicli,20,IT,2018-10-11,83,36.79,14.7,73.4,2.24
Guantanamo,90,BO,2018-10-11,83,-16.14,-62.05,77.0,11.41
Kaifeng,0,CN,2018-10-11,61,34.8,114.35,50.0,2.24
Yeppoon,80,AU,2018-10-11,78,-23.13,150.74,73.4,4.7
Cayenne,0,GF,2018-10-11,55,4.94,-52.33,89.6,14.99
Carrollton,1,US,2018-10-11,58,33.58,-85.08,82.22,10.29
Vao,24,EE,2018-10-11,93,59.1,26.19,44.94,4.94
Auki,88,NG,2018-10-11,45,12.18,6.51,83.82,3.6
Xai-Xai,0,MZ,2018-10-11,82,-25.04,33.64,76.98,16.24
Beyneu,8,KZ,2018-10-11,80,45.32,55.19,54.66,9.75
Mendoza,0,AR,2018-10-11,39,-32.89,-68.84,66.2,4.7
Yate,75,GB,2018-10-11,93,51.54,-2.41,62.6,9.17
Santa Ines,75,EC,2018-10-11,42,-0.82,-78.63,69.8,3.36
Igurubi,48,TZ,2018-10-11,44,-4.0,33.71,78.51,7.52
North Platte,20,US,2018-10-11,8,41.12,-100.77,48.92,8.41
Seymchan,80,RU,2018-10-11,96,62.93,152.39,18.21,2.48
Ugoofaaru,92,MV,2018-10-11,96,5.67,73.0,83.73,10.65
Vanavara,76,RU,2018-10-11,62,60.35,102.28,35.94,7.18
Klyuchi,0,RU,2018-10-11,68,52.25,79.17,44.49,13.11
Mendota,1,US,2018-10-11,52,36.75,-120.38,69.08,5.82
Prado,0,BR,2018-10-11,98,-17.34,-39.22,77.52,12.77
Luebo,44,CD,2018-10-11,93,-5.35,21.42,73.29,2.15
Portel,20,PT,2018-10-11,56,38.31,-7.71,71.6,10.29
Tiarei,40,PF,2018-10-11,74,-17.53,-149.33,80.6,5.82
Nishihara,90,JP,2018-10-11,100,35.74,139.53,69.8,3.36
Save,36,BJ,2018-10-11,69,8.04,2.49,83.1,5.61
Tarko-Sale,92,RU,2018-10-11,97,64.92,77.78,35.04,15.01
Inhambane,40,MZ,2018-10-11,88,-23.87,35.38,75.2,6.93
Mogadishu,20,SO,2018-10-11,99,2.04,45.34,79.23,13.78
Bahia de Caraquez,90,EC,2018-10-11,78,-0.6,-80.42,77.0,16.11
Nueva Guinea,20,NI,2018-10-11,62,11.69,-84.46,87.78,5.61
Monterey,75,US,2018-10-11,67,36.6,-121.89,66.02,3.49
Soligalich,24,RU,2018-10-11,90,59.08,42.29,35.04,9.53
Jiwani,0,PK,2018-10-11,85,25.05,61.74,71.67,4.5
Villanueva de Cordoba,0,ES,2018-10-11,60,38.32,-4.63,73.4,11.41
Paungde,44,MM,2018-10-11,95,18.49,95.51,73.47,3.15
Praia da Vitoria,40,PT,2018-10-11,78,38.73,-27.07,73.4,37.6
Macia,0,MZ,2018-10-11,54,-25.03,33.09,80.22,9.42
Guider,32,CM,2018-10-11,48,9.93,13.94,79.41,5.39
Koslan,48,RU,2018-10-11,77,63.46,48.9,35.22,9.08
La Ronge,5,CA,2018-10-11,51,55.1,-105.3,37.4,8.05
Neka,0,IR,2018-10-11,93,36.65,53.3,64.4,4.7
Hidalgotitlan,40,MX,2018-10-11,94,17.78,-94.63,84.2,4.94
Canico,40,PT,2018-10-11,69,32.63,-16.85,75.2,6.93
Chicama,0,PE,2018-10-11,73,-7.84,-79.15,69.8,12.75
Wajima,100,JP,2018-10-11,100,37.4,136.9,60.96,14.0
Shemgang,76,BT,2018-10-11,82,27.22,90.66,61.32,1.59
Bilma,36,NE,2018-10-11,19,18.69,12.92,87.78,4.72
Egvekinot,88,RU,2018-10-11,81,66.32,-179.17,32.79,13.0
Hobyo,0,SO,2018-10-11,79,5.35,48.53,78.87,21.05
Husavik,64,CA,2018-10-11,100,50.56,-96.99,32.79,13.11
Itarema,0,BR,2018-10-11,47,-2.92,-39.92,90.66,19.71
Poso,92,ID,2018-10-11,100,-1.4,120.75,74.55,4.05
Cukai,20,MY,2018-10-11,88,4.25,103.42,78.8,3.36
